IdCiudad,NombreCiudad
4,Larangan
4,Sumuragung
9,Lijiapu
9,Azteca
1,Dziemiany
5,Piteå
5,Vale de Figueira
4,Troitskoye
7,Saint-Ouen
5,Banes
5,Voiron
7,Mundri
7,Cilaja
5,Krzyżowice
9,Houston
4,Svedala
4,Lokavec
3,Jiaomingsi
5,Kyzyl-Oktyabr’skiy
2,Dembeni
8,Kota Ternate
1,Cayambe
5,Xinpu
1,Monsanto
2,Akzhal
7,Touguinha
7,Lefortovo
8,Lancang
1,Pskov
2,Kristianstad
6,Aguilares
3,Dazhigu
9,Eskilstuna
4,Berlin
7,Vales
2,Lelystad
9,Dhuusamarreeb
2,Novoye Leushino
2,Kolpny
10,Pavlovskaya
4,Palauig
1,Goussainville
9,Jiahe
6,El Cuy
8,Barão de São Miguel
5,Vose’
7,Shwebo
4,Ermelo
2,Maguan
7,Ostrowsko
8,Fernández
4,Shangchewan
2,Dongxi
4,Qingquan
1,Perstorp
6,Druzhba
6,Xinshichang
10,Guinabsan
7,Majunying
2,Jincheng
6,Novi Sad
6,Hyltebruk
4,Arevshat
4,Bekondo
7,Gagnoa
3,Zemio
5,Xindian
4,Guamo
3,São Pedro Gafanhoeira
4,Dầu Tiếng
2,Lutian
9,Maca
10,Waihi
2,Jiru
9,Kuala Lumpur
8,Reni
1,Itaqui
10,Belén
8,Bingawan
6,Cajabamba
1,Azun Atme
1,Kericho
4,Tangzhuang
9,Santisimo Rosario
1,Piraí
1,Cibeureum Kidul
1,Ngou
9,Bato
7,Huangbei
4,Osvaldo Cruz
8,Wukou
10,Shar
6,Jatiklampok
9,Oklahoma City
5,Vostryakovo
2,Troparëvo
6,Uspenskoye
2,Solnechnyy
4,Trới
2,Huachos
4,Zheleznodorozhnyy
6,Ludwin
3,Swift Current
6,Kępice
10,Pôrto Barra do Ivinheima
10,Tchintabaraden
9,Piran
9,Pangpang
4,Malysheva
5,Châu Thành
1,Katrineholm
8,Urambo
3,Jelisavac
4,Khemisset
5,Orléans
7,To’rtko’l Shahri
5,Tojeira
2,Hongjiaguan
4,Giebułtów
6,Pujijie
9,Vrakháti
9,Shapaja
1,Luna
3,Lianfa
2,Leeuwarden
8,Windusakti Hilir
9,Jardín América
9,Port-Gentil
3,Rashaant
9,Świdwin
6,Kallithéa
3,Ambatolaona
1,Gaya
5,Zhili
3,Viçosa
2,Wuyo
10,Plumtree
6,L'Aigle
10,Kuźnia Raciborska
2,Seixo de Manhoses
10,Vyerkhnyadzvinsk
9,Petrovo-Dal’neye
3,Cerme Kidul
10,Evansville
1,Cidadap
7,Utkivka
6,Lanjaghbyur
2,Taoyuan
5,Washington
7,Thakhèk
1,Piaocao
8,Xihu
3,Madrid
2,San Jerónimo
5,Nakhon Sawan
9,Shahezi
2,Ndeaboh
9,Junzhuang
10,Svetlyy
3,Sop Pong
6,Svoboda nad Úpou
8,Ngembul
2,Paripiranga
10,Veternik
9,Ku‘aydinah
4,Manutapen
10,Budapest
7,Zizhao
5,Oliveira
8,Monywa
9,Fengpo
9,Horodok
3,Valle de Ángeles
5,Pirallahı
6,Dowsk
7,Píritu
9,Aemura
7,Xunjian
7,Cilegong
2,La Mohammedia
10,Stockholm
5,Rosice
10,Trojanów
7,Al Hoceïma
10,Kebonkaret
9,Fushan
2,Santa Ana
7,Lubbock
3,Serra de Santa Marinha
2,Skála Oropoú
3,Duqiao
9,Messejana
3,Nongoma
1,Luchenza
6,Mapinrea
6,Tierra Blanca
8,Peza e Madhe
8,Oster
5,Pukou
9,Talipan
9,Jaguariaíva
7,Kerep Wetan
9,Bålsta
10,Tosontsengel
3,Brea Pozo
2,Paris 19
4,Qiuchuan
6,Pruszcz Gdański
9,Dolní Čermná
1,Kōchi-shi
3,Chatou
7,Gaotuo
4,Ficksburg
4,Xianshuigu
3,Piedade
9,Rudo
9,Khe Tre
1,Tielu
6,Zlatograd
8,Boavista
4,Rychtal
1,Kaducondong
7,Książ Wielkopolski
2,Concepción de la Barranca
7,Aramayuan
7,Tagta
8,Lorient
7,Wantian
10,Dong’an
10,Krajan Karangsari
8,Uppsala
10,Hanna
8,Virginia
5,San Miguel
2,Bilshivtsi
9,Fort Worth
7,Beaumont
2,Lovas
9,Yajin
6,Bangbayang Kaler
7,Ribeirão Preto
3,Bakhmach
3,Nahuo
2,Jardin
10,Bancal
1,San Francisco
7,Dongchen
8,Masohi
2,Awayan
7,Suba
4,Pak Chom
9,Zhenxing
4,Qingshan
8,Varberg
8,Blaye
3,Podsineye
6,Hengxi
6,Liangbing
6,Osh
1,Hairag
3,Huangni
7,Partido
2,Itarana
8,Malasin
6,Kisasa
6,Hantara
5,Mahalapye
7,Goiás
2,Machachi
5,Viñac
8,Elato
8,Maquiapo
6,Huangzhu
6,Rogachëvo
7,Znamenka
4,Fengdian
3,San Juan de Colón
1,Ouzini
4,Tsimlyansk
2,Matalam
5,Bo Kluea
3,Şūr
5,Cipatat
8,Draguignan
1,Cabaret
1,Zhonghouhe
3,Vale Boeiro
2,San Diego
4,Minūf
4,Selnica
4,Xiaolukou
4,Pyhäntä
8,Tash-Kumyr
6,Markaz Mudhaykirah
6,Panino
1,Västerås
9,El Calvario
1,Ziroudani
8,Najin
2,Kangar
10,Itoman
7,Vicuña Mackenna
2,Paccha
10,Pangascasan
7,Fanzhen
9,Lewobelek
2,Xiehu
10,Nara
3,Tangguhang
6,Ukhta
1,Kondrovo
7,Pola
7,Inowrocław
1,Mwaya
10,Kasingan
3,Ra-ngae
5,Babantar
7,Palestina
7,Yuetang
8,Macaé
5,Shkurinskaya
2,Nagaoka
10,Niono
5,Sremska Mitrovica
2,Bukowiec
6,Hannō
4,Guadalupe
9,Guayabal
3,Luziânia
4,Drogomyśl
2,La Guata
7,Patalan
6,Hachinohe
8,Arroyo Seco
1,Zhavoronki
2,Velika
8,Granada
10,Mabini
10,Bralin
1,Goujie
6,Waśniów
9,Vierzon
3,Leonídio
4,Bayramaly
8,Houston
3,Taiyanghe
10,Miraflores
3,São Roque
10,Mantes-la-Jolie
8,Bakar
6,Zaliznychne
5,Grenoble
5,Baipenzhu
3,Los Cedrales
5,Corumbá
2,Longquan
9,Zhaozhen
9,Moss
4,Sop Pong
2,Huzhen
3,Eauripik
9,Parreira
8,Youxi
1,Porto-Novo
5,Pilar
1,El Paso
4,Berat
5,Sanchahe
3,Babagan
7,Changlin
9,Ciawi
1,Hongshan
7,Vostochnyy
2,Margahayu
6,Sainte-Martine
2,Leudelange
7,Tegina
10,Aso
10,Zhongguan
1,Nangka
8,Tomar
3,Shiqiao
10,Pasarnangka
2,Dongfanghong
2,Ranchuelo
5,Budapest
6,Yanbei
6,Pangkajene
9,Anfusi
6,Vale
10,Jombang
10,Nonoichi
4,Varser
2,Mikołów
5,Krasna
5,As Suqaylibīyah
6,Mandeman Daya
8,Blumbang
4,Tirah
5,Rizári
2,Pysznica
1,Outapi
1,Hengjie
7,Trá Mhór
10,Louguan
5,Dabu
2,Lugo
3,Mulan
8,Limeiras
5,Solna
9,Otjiwarongo
7,Malaga
3,Jiefangyan
10,Pamplona
4,São João dos Inhamuns
8,Séléa
8,Yushan
10,Akarakar
8,Bakovci
10,Konza
4,Kagawasan
6,Klau
10,Mangulewa
5,Ganzhou
6,Almeirim
6,Toulon
3,Straldzha
3,5 de Mayo
3,Manuel Roxas
7,Gading
6,Santa Cruz
1,Pasar Kulon
9,Vänersborg
8,Panolan
1,Obita
2,Balabagan
4,Uyo
4,Chyżne
2,Yunguyo
7,Novosibirsk
1,Xueshan
5,Carnaxide
9,Zaoshi
3,Dugulubgey
2,Cernik
7,Buenavista
10,Krajanbaturno
9,Huazangsi
3,Harrisburg
4,Khashuri
8,Charlotte Amalie
4,Rudky
8,Disūq
9,Tuba
2,Koíla
8,Roodepoort
9,Daxing
9,Lebowakgomo
5,Šentjur
5,Mouzourás
8,Sharga
8,Malakal
7,Dolice
9,Pengulu
4,Zhangxiong
8,Tours
6,Kampungbaru
5,Sambirejo
8,Jacutinga
8,Sumbermanggis
3,Zolotyy Potik
2,Chalon-sur-Saône
1,Nyima
6,Chengshan
3,Tiadiaye
6,Ceper
2,Lấp Vò
10,Liulin
5,Nelazskoye
4,Lazaro Cardenas
9,San Luis
8,Roissy Charles-de-Gaulle
7,La Caya
1,Pruchnik
6,Vabalninkas
9,Falun
2,Ḩabūr
10,Etten-Leur
3,Antwerpen
1,Jibiya
7,Laborie
4,Hujiaba
7,Jalālābād
9,San Isidro
2,Paris 18
10,Cimaung Kidul
6,Wushan
9,Wolowiro
3,Lysekil
5,Dalinhe
7,Medovene
5,Saint Helier
3,Loma Bonita
2,Huangtudian
3,Ngorongoro
8,Panognawan
3,Anta
6,Livádion
4,Dalupaon
1,Toulon
8,Bürenhayrhan
6,Air Bangis
4,Courtaboeuf
3,Zhireken
6,Tuanlin
9,Bail
10,Riyue
6,Soko
7,Évry
7,Stockholm
4,Hukeng
4,Pácora
8,Jablah
5,Balgarevo
10,Nowe Miasto nad Pilicą
4,Abovyan
7,Tongyang
5,Chum Phae
3,Kristianstad
5,Yongding
7,Voorburg
8,Paris 03
2,Real
2,Floreşti
6,Vom
10,San Nicolas
7,Vodnjan
8,Lincheng
7,Santa Eulália
9,Oslo
1,Jōetsu
9,Imari
8,Shuangxi
2,Kubangkondang
10,Santa Cruz Balanyá
8,Hrazdan
8,Kōriyama
4,Nanmu
10,Dahe
2,Anrong
1,Gouveia
6,Xumu
5,Aikmel
2,Ostrowsko
9,Bijia
6,Libertad
10,Hongxing
4,Senduro
7,Shulan
9,Qikeshu
4,Tomay Kichwa
8,Moscavide
2,Haolin
4,Sirdaryo
5,Wongsorejo
3,Temirgoyevskaya
6,Tiebukenwusan
1,Massakory
1,Kamnica
9,Wangzuizi
2,Huangtian
10,Kcynia
10,Faqqū‘ah
1,Waterloo
2,Comrat
8,Kista
2,Conceição da Abóboda
8,Latowicz
10,Krayen
9,Sūrīān
3,Longshan
4,Cherskiy
3,Donggang
7,Taivalkoski
7,Kitahiroshima
9,Kansas City
4,Tambakrejo
7,Xiahong
5,Velikiye Borki
10,Keetmanshoop
9,Klichaw
2,Nangakeo
10,Ciechanowiec
4,Dallas
2,Chesma
2,Lage
2,Najrān
2,Xuyong
7,Świnna
10,Kos
4,Bogor
6,Krajan Pakel
7,Nal’chik
1,Libode
10,Bernal
3,Rawawilis
7,Sanjiang
10,Tetaf
6,Krajan
7,Gazimurskiy Zavod
5,Toksovo
1,Hobaramachi
2,Koška
1,Chuqui Chuqui
9,Kovel’
9,Chaumont
6,Mbuji-Mayi
8,Krasnoyarka
2,La Dorada
3,Wierzawice
5,Pingpu
4,Quyangqiao
1,Nancheng
9,Polovinnoye
3,Casais de Vera Cruz
